City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Asyut,EG,2020-06-28 16:06:31,27.18,31.18,96.8,25,0,11.41
116,Faanui,PF,2020-06-28 16:04:04,-16.48,-151.75,76.33,79,59,23.85
117,Port Macquarie,AU,2020-06-28 16:06:31,-31.43,152.92,48.99,91,13,7.94
118,Pokhara,NP,2020-06-28 16:06:31,28.23,83.98,71.11,85,72,0.94
119,Gat,IL,2020-06-28 16:06:31,31.61,34.76,84.0,65,20,8.05
120,Creel,MX,2020-06-28 16:06:31,27.75,-107.63,64.42,60,41,4.38
121,Port Elizabeth,ZA,2020-06-28 16:06:31,-33.92,25.57,59.45,65,15,21.21
122,Kodiak,US,2020-06-28 16:06:31,57.79,-152.41,51.8,87,90,9.17
123,Naze,JP,2020-06-28 16:06:31,28.37,129.48,78.8,94,93,6.93
124,Kovernino,RU,2020-06-28 16:06:31,57.13,43.81,59.72,61,66,5.68
125,Talnakh,RU,2020-06-28 16:04:00,69.49,88.4,75.2,47,30,15.66
126,Katsuura,JP,2020-06-28 16:06:18,35.13,140.3,69.01,94,100,6.55
127,Yumen,CN,2020-06-28 16:04:23,40.28,97.2,72.16,27,0,13.42
128,La Ronge,CA,2020-06-28 16:03:04,55.1,-105.28,64.4,82,75,4.7
129,Biltine,TD,2020-06-28 16:06:32,14.53,20.92,97.63,23,56,7.0
130,San Luis,AR,2020-06-28 16:06:32,-33.3,-66.34,54.93,40,22,10.56
131,Mocuba,MZ,2020-06-28 16:06:32,-16.84,36.99,74.53,70,48,3.11
132,Champerico,GT,2020-06-28 16:06:32,14.3,-91.92,84.2,79,40,4.7
133,Price,US,2020-06-28 16:04:32,39.6,-110.81,71.6,30,20,14.74
134,Salmo,CA,2020-06-28 16:06:32,49.2,-117.27,50.0,85,97,1.01
135,Lowicz,PL,2020-06-28 16:06:32,52.11,19.95,84.99,45,30,12.75
136,Tzucacab,MX,2020-06-28 16:06:32,20.07,-89.05,89.42,55,51,5.44
137,Minot,US,2020-06-28 16:06:32,48.23,-101.3,78.8,78,75,10.29
138,Chuy,UY,2020-06-28 16:06:32,-33.7,-53.46,54.19,61,3,5.91
139,Puerto Ayora,EC,2020-06-28 16:06:32,-0.74,-90.35,75.2,73,75,11.41
140,Grindavik,IS,2020-06-28 16:06:32,63.84,-22.43,53.6,93,90,11.41
141,Yar-Sale,RU,2020-06-28 16:06:32,66.83,70.83,53.56,61,78,6.08
142,Mehamn,NO,2020-06-28 16:06:20,71.04,27.85,42.8,87,90,10.29
143,Izvestkovyy,RU,2020-06-28 16:06:33,48.98,131.55,55.45,95,100,2.06
144,Arrecife,ES,2020-06-28 16:06:33,28.96,-13.55,80.6,57,20,25.28
145,Aswan,EG,2020-06-28 16:04:32,24.09,32.91,104.2,10,34,10.94
146,Salalah,OM,2020-06-28 16:04:32,17.02,54.09,86.0,84,75,14.99
147,Hasaki,JP,2020-06-28 16:01:45,35.73,140.83,68.0,100,75,2.24
148,Letlhakeng,BW,2020-06-28 16:06:33,-24.09,25.03,60.26,30,0,7.45
149,Pangnirtung,CA,2020-06-28 16:06:33,66.15,-65.71,48.31,62,48,4.32
150,Pisco,PE,2020-06-28 16:04:10,-13.7,-76.22,62.6,82,90,3.36
151,Saint George,US,2020-06-28 16:04:36,37.1,-113.58,89.6,19,1,14.99
152,Fortuna,US,2020-06-28 16:06:33,40.6,-124.16,57.99,87,90,12.75
153,Hithadhoo,MV,2020-06-28 16:06:33,-0.6,73.08,85.68,68,100,8.05
154,Opuwo,NA,2020-06-28 16:06:33,-18.06,13.84,75.25,19,0,8.37
155,Pokosnoye,RU,2020-06-28 16:06:34,55.53,101.05,63.99,83,29,5.35
156,Iqaluit,CA,2020-06-28 16:02:44,63.75,-68.51,39.2,80,75,5.82
157,Ughelli,NG,2020-06-28 16:06:34,5.49,6.01,76.24,92,91,4.76
158,Sergeyevka,KZ,2020-06-28 16:06:34,53.88,67.42,55.67,81,18,10.33
159,Kalush,UA,2020-06-28 16:06:34,49.01,24.37,73.4,73,75,6.71
160,Cidreira,BR,2020-06-28 16:06:34,-30.18,-50.21,59.36,55,0,3.51
161,Pangai,TO,2020-06-28 16:06:34,-19.8,-174.35,77.95,83,100,13.89
162,Bartica,GY,2020-06-28 16:06:34,6.4,-58.62,73.4,94,75,16.11
163,Hambantota,LK,2020-06-28 16:06:04,6.12,81.12,82.4,88,75,8.05
164,Ilulissat,GL,2020-06-28 16:04:07,69.22,-51.1,41.0,80,75,5.82
165,Barrow,US,2020-06-28 16:06:34,71.29,-156.79,46.4,75,1,8.05
166,Xinan,CN,2020-06-28 16:06:34,26.72,119.86,77.14,91,100,1.34
167,Hofn,IS,2020-06-28 16:06:35,64.25,-15.21,62.6,67,75,21.92
168,Thompson,CA,2020-06-28 16:03:04,55.74,-97.86,59.0,93,90,8.05
169,Sidi Ali,DZ,2020-06-28 16:06:35,36.1,0.42,80.92,44,0,12.86
170,Richards Bay,ZA,2020-06-28 16:06:35,-28.78,32.04,69.31,56,18,10.45
171,Madimba,TZ,2020-06-28 16:06:35,-10.4,40.33,75.36,84,5,10.16
172,Imeni Poliny Osipenko,RU,2020-06-28 16:06:35,52.42,136.49,47.59,93,4,8.93
173,Namibe,AO,2020-06-28 16:04:46,-15.2,12.15,72.66,58,0,9.46
174,Beringovskiy,RU,2020-06-28 16:06:35,63.05,179.32,40.17,71,8,18.16
175,Marawi,PH,2020-06-28 16:06:35,8.0,124.29,73.99,94,100,1.74
176,Hovd,MN,2020-06-28 16:06:35,48.01,91.64,72.82,24,2,4.54
177,Pacific Grove,US,2020-06-28 16:02:39,36.62,-121.92,57.2,82,90,9.17
178,Bethel,US,2020-06-28 16:06:35,41.37,-73.41,82.99,61,40,6.93
179,Nioro,GM,2020-06-28 16:06:35,13.35,-15.75,99.18,31,55,12.1
180,Saldanha,ZA,2020-06-28 16:06:35,-33.01,17.94,60.8,72,13,4.7
181,Nyagan,RU,2020-06-28 16:06:36,62.14,65.39,53.82,74,62,5.75
182,Alofi,NU,2020-06-28 16:06:32,-19.06,-169.92,75.2,88,62,2.24
183,Boralday,KZ,2020-06-28 16:06:36,43.36,76.86,55.4,87,90,15.66
184,Longyearbyen,SJ,2020-06-28 16:06:36,78.22,15.64,42.8,70,75,9.17
185,Bilma,NE,2020-06-28 16:06:36,18.69,12.92,104.31,7,0,7.31
186,Nantucket,US,2020-06-28 16:01:48,41.28,-70.1,75.99,83,40,6.93
187,Lata,PT,2020-06-28 16:06:16,40.16,-8.33,84.0,53,0,11.23
188,Chegdomyn,RU,2020-06-28 16:06:36,51.12,133.02,57.02,93,95,1.25
189,Ponta Do Sol,PT,2020-06-28 16:06:36,32.67,-17.1,73.99,71,4,10.0
190,Aquitania,CO,2020-06-28 16:06:36,5.52,-72.89,53.96,91,100,4.54
191,Talcahuano,CL,2020-06-28 16:06:36,-36.72,-73.12,53.6,93,90,8.05
192,Hami,CN,2020-06-28 16:06:36,42.8,93.45,88.54,13,0,19.15
193,Solnechnyy,RU,2020-06-28 16:06:37,50.72,136.63,55.62,87,41,5.73
194,Novyy Urengoy,RU,2020-06-28 16:06:37,66.08,76.63,54.52,93,100,15.95
195,Kosino,RU,2020-06-28 16:06:37,58.41,51.28,53.53,76,7,7.67
196,Leningradskiy,RU,2020-06-28 16:06:37,69.38,178.42,29.01,98,96,4.74
197,Nizhniy Tsasuchey,RU,2020-06-28 16:06:37,50.52,115.13,63.46,62,100,3.4
198,Tura,IN,2020-06-28 16:04:08,25.52,90.22,75.58,95,49,7.2
199,Palu,ID,2020-06-28 16:06:37,-0.89,119.87,74.73,83,100,0.56
200,Saint-Augustin,CA,2020-06-28 16:06:37,51.23,-58.65,61.9,64,28,17.31
201,Kurchum,KZ,2020-06-28 16:06:37,48.57,83.65,62.24,38,100,6.91
202,Srednekolymsk,RU,2020-06-28 16:06:37,67.45,153.68,52.79,45,100,10.33
203,Zhangzhou,CN,2020-06-28 16:01:46,24.51,117.66,84.2,83,100,8.95
204,Codrington,AU,2020-06-28 16:06:37,-38.27,141.97,42.73,85,18,7.11
205,Bac Lieu,VN,2020-06-28 16:01:46,9.29,105.72,81.99,79,100,10.83
206,Matara,LK,2020-06-28 16:04:39,5.95,80.54,80.53,85,87,9.84
207,Osoyoos,CA,2020-06-28 16:04:12,49.03,-119.45,59.0,58,90,12.75
208,Arona,ES,2020-06-28 16:04:10,28.1,-16.68,80.6,54,20,28.86
209,Kingaroy,AU,2020-06-28 16:06:38,-26.53,151.83,53.01,94,90,3.0
210,Mackay,AU,2020-06-28 16:06:38,-21.15,149.2,64.4,88,40,9.17
211,Koslan,RU,2020-06-28 16:06:38,63.46,48.9,48.06,64,98,7.65
212,Rio Gallegos,AR,2020-06-28 16:01:54,-51.62,-69.22,23.0,85,20,9.17
213,Pevek,RU,2020-06-28 16:06:38,69.7,170.31,31.95,99,100,18.28
214,Sylva,RU,2020-06-28 16:06:38,58.03,56.76,59.0,54,40,6.71
215,Mendi,PG,2020-06-28 16:06:38,-6.18,143.65,55.67,99,100,1.61
216,Fort Abbas,PK,2020-06-28 16:06:38,29.19,72.85,107.35,20,0,11.3
217,Olinda,BR,2020-06-28 16:06:38,-8.01,-34.86,78.8,83,75,11.41
218,Tiarei,PF,2020-06-28 16:06:39,-17.53,-149.33,69.8,83,10,4.7
219,Dhule,IN,2020-06-28 16:06:39,20.9,74.78,83.14,74,92,6.73
220,Jepara,ID,2020-06-28 16:06:39,-5.17,105.7,76.35,90,8,1.43
221,Makakilo City,US,2020-06-28 16:06:39,21.35,-158.09,75.2,78,1,3.36
222,Klaksvik,FO,2020-06-28 16:06:39,62.23,-6.59,59.0,82,96,18.34
223,Lichinga,MZ,2020-06-28 16:04:22,-13.31,35.24,62.01,69,49,1.68
224,Coquimbo,CL,2020-06-28 16:06:18,-29.95,-71.34,55.4,82,75,3.36
225,Shubarshi,KZ,2020-06-28 16:06:39,48.59,57.19,80.51,28,83,10.38
226,Mezen,RU,2020-06-28 16:06:39,65.85,44.24,44.58,67,81,11.48
227,Jieshou,CN,2020-06-28 16:06:39,33.26,115.36,72.28,98,99,5.5
228,Luhyny,UA,2020-06-28 16:06:39,51.08,28.4,74.21,78,20,9.28
229,Muros,ES,2020-06-28 16:06:39,42.78,-9.06,66.99,92,89,4.0
230,Bhainsdehi,IN,2020-06-28 16:06:39,21.65,77.63,73.27,93,100,4.97
231,Caravelas,BR,2020-06-28 16:06:30,-17.71,-39.25,79.66,63,0,7.94
232,Nurota,UZ,2020-06-28 16:06:40,40.56,65.69,75.2,16,0,9.17
233,Kibaya,TZ,2020-06-28 16:06:40,-5.3,36.57,64.92,70,3,7.92
234,Humaita,BR,2020-06-28 16:06:40,-7.51,-63.02,92.19,43,81,4.83
235,Bengkulu,ID,2020-06-28 16:06:40,-3.8,102.27,78.03,87,40,6.06
236,Akdepe,TM,2020-06-28 16:06:40,42.06,59.38,82.4,23,100,9.17
237,Ulu-Telyak,RU,2020-06-28 16:06:40,54.91,56.97,51.1,92,27,5.82
238,Obo,CF,2020-06-28 16:06:40,5.4,26.49,77.13,85,10,1.77
239,Ulaanbaatar,MN,2020-06-28 16:06:40,47.91,106.88,62.6,67,40,6.71
240,Port Blair,IN,2020-06-28 16:06:40,11.67,92.75,83.32,78,100,9.4
241,Alice Springs,AU,2020-06-28 16:03:45,-23.7,133.88,39.2,51,0,7.02
242,Maltahohe,NA,2020-06-28 16:06:40,-24.83,16.98,61.5,24,0,8.97
243,San-Pedro,CI,2020-06-28 16:06:40,4.75,-6.64,79.34,73,61,11.99
244,Saint Anthony,US,2020-06-28 16:06:41,45.02,-93.22,82.99,48,1,12.75
245,Winneba,GH,2020-06-28 16:06:41,5.35,-0.62,80.6,78,90,19.46
246,Mahebourg,MU,2020-06-28 16:04:00,-20.41,57.7,71.6,83,75,9.17
247,Santa Vitoria Do Palmar,BR,2020-06-28 16:06:41,-33.52,-53.37,54.34,61,1,5.41
248,Bolobo,CD,2020-06-28 16:06:41,-2.17,16.23,87.19,43,45,0.98
249,Moussoro,TD,2020-06-28 16:06:41,13.64,16.49,98.46,28,44,1.99
250,Kawalu,ID,2020-06-28 16:06:41,-7.38,108.21,72.16,90,81,0.56
251,Dunedin,NZ,2020-06-28 16:06:41,-45.87,170.5,45.0,87,100,3.0
252,Zemio,CF,2020-06-28 16:06:41,5.03,25.14,78.39,81,22,4.12
253,Dakar,SN,2020-06-28 16:01:45,14.69,-17.44,86.0,66,40,18.34
254,Ndele,CF,2020-06-28 16:06:42,8.41,20.65,80.94,77,81,4.23
255,Ancud,CL,2020-06-28 16:06:42,-41.87,-73.82,46.0,100,90,5.82
256,Tautira,PF,2020-06-28 16:06:42,-17.73,-149.15,69.8,83,19,4.7
257,Muravlenko,RU,2020-06-28 16:06:29,63.79,74.52,54.23,92,100,18.59
258,Andreiasu De Jos,RO,2020-06-28 16:06:42,45.75,26.83,89.6,31,5,6.93
259,Ormara,PK,2020-06-28 16:06:42,25.21,64.64,85.42,83,16,20.74
260,Nosy Varika,MG,2020-06-28 16:06:42,-20.58,48.53,70.48,87,0,6.73
261,Nidadavole,IN,2020-06-28 16:06:42,16.92,81.67,86.0,79,40,3.36
262,Amur,RU,2020-06-28 16:06:42,54.0,128.0,56.1,81,97,0.63
263,Thinadhoo,MV,2020-06-28 16:03:01,0.53,72.93,84.99,72,73,7.63
264,Butaritari,KI,2020-06-28 16:06:42,3.07,172.79,82.67,74,31,14.92
265,Cassilandia,BR,2020-06-28 16:04:20,-19.11,-51.73,76.1,64,84,3.74
266,Husavik,IS,2020-06-28 16:06:42,66.04,-17.34,53.6,81,20,10.29
267,Touros,BR,2020-06-28 16:02:31,-5.2,-35.46,84.2,66,75,10.29
268,Bonavista,CA,2020-06-28 16:06:43,48.65,-53.11,57.02,85,81,10.25
269,Tera,NE,2020-06-28 16:06:43,14.01,0.75,104.0,21,15,5.14
270,Verkhnevilyuysk,RU,2020-06-28 16:06:43,63.45,120.32,69.96,51,58,2.3
271,Krasnorechenskiy,RU,2020-06-28 16:06:43,44.63,135.35,52.86,91,98,1.66
272,Dingle,PH,2020-06-28 16:06:43,11.0,122.67,76.93,86,100,2.28
273,Rundu,NA,2020-06-28 16:06:43,-17.93,19.77,71.6,19,0,4.7
274,Coihaique,CL,2020-06-28 16:04:19,-45.58,-72.07,28.4,68,75,3.36
275,Port Hardy,CA,2020-06-28 16:06:43,50.7,-127.42,57.2,76,20,5.82
276,Ocos,GT,2020-06-28 16:06:43,14.51,-92.19,84.2,78,75,8.05
277,Dimbokro,CI,2020-06-28 16:06:43,6.65,-4.7,84.88,74,50,4.03
278,Vila Franca Do Campo,PT,2020-06-28 16:06:43,37.72,-25.43,69.8,83,40,14.99
279,Puerto Del Rosario,ES,2020-06-28 16:06:44,28.5,-13.86,78.8,69,20,23.04
280,Aleksandrov Gay,RU,2020-06-28 16:06:44,50.15,48.57,79.77,52,86,9.13
281,Okhotsk,RU,2020-06-28 16:06:44,59.38,143.3,46.94,88,1,5.23
282,Koungou,YT,2020-06-28 16:06:44,-12.73,45.2,77.0,83,0,11.41
283,Sinnamary,GF,2020-06-28 16:06:44,5.38,-52.95,83.05,76,24,1.68
284,Inhambane,MZ,2020-06-28 16:06:44,-23.86,35.38,82.4,30,0,10.11
285,Manono,CD,2020-06-28 16:06:44,-7.3,27.42,86.59,30,74,4.18
286,Sorland,NO,2020-06-28 16:06:44,67.67,12.69,57.2,82,33,12.75
287,Payo,ID,2020-06-28 16:06:44,-3.75,103.64,73.67,96,79,2.59
288,Dergachi,RU,2020-06-28 16:06:44,51.23,48.77,71.91,73,53,10.13
289,Pangkalanbuun,ID,2020-06-28 16:04:10,-2.68,111.62,73.81,90,73,2.95
290,Bodden Town,KY,2020-06-28 16:06:44,19.28,-81.25,89.6,70,20,10.29
291,Nuuk,GL,2020-06-28 16:06:44,64.18,-51.72,48.2,66,20,8.05
292,Mabaruma,GY,2020-06-28 16:06:17,8.2,-59.78,83.32,77,10,5.93
293,Ostersund,SE,2020-06-28 16:06:45,63.18,14.64,73.4,43,31,17.22
294,Boddam,GB,2020-06-28 16:06:45,57.47,-1.78,61.0,72,40,17.22
295,Ulladulla,AU,2020-06-28 16:01:46,-35.35,150.47,48.2,100,75,4.7
296,Banda Aceh,ID,2020-06-28 16:06:45,5.56,95.32,80.47,82,88,10.18
297,Benoy,TD,2020-06-28 16:06:45,8.98,16.32,91.4,66,20,4.7
298,Vao,NC,2020-06-28 16:06:45,-22.67,167.48,69.15,54,0,9.28
299,Wanaka,NZ,2020-06-28 16:06:45,-44.7,169.15,39.99,90,100,1.99
300,Kahului,US,2020-06-28 16:01:54,20.89,-156.47,73.0,73,1,5.82
301,Carbonia,IT,2020-06-28 16:06:45,39.17,8.52,87.8,65,3,12.75
302,Shimoda,JP,2020-06-28 16:06:45,34.67,138.95,64.0,95,87,6.76
303,Los Llanos De Aridane,ES,2020-06-28 16:06:45,28.66,-17.92,75.2,73,75,17.22
